german_article_singular,german_article_plural,german_singular,german_plural,english_singular,english_plural,ukrainian_singular,ukrainian_plural,french_singular,french_plural,spanish_singular,spanish_plural,farsi_singular,farsi_plural
das Bett,die Betten,Bett,Betten,bed,beds,ліжко,ліжка,lit,lits,cama,camas,تخت,تخت‌ها
das Kissen,die Kissen,Kissen,Kissen,pillow,pillows,подушка,подушки,oreiller,oreillers,almohada,almohadas,بالش,بالش‌ها
die Decke,die Decken,Decke,Decken,blanket,blankets,ковдра,ковдри,couverture,couvertures,manta,mantas,پتو,پتوها
das Bettlaken,die Bettlaken,Bettlaken,Bettlaken,bed sheet,bed sheets,простирадло,простирадла,linge de lit,linges de lit,sábana,sábanas,ملحفه,ملحفه‌ها
die Matratze,die Matratzen,Matratze,Matratzen,mattress,mattresses,матрац,матраци,matelas,matelas,colchón,colchones,تشک,تشک‌ها
der Schrank,die Schränke,Schrank,Schränke,wardrobe,wardrobes,шафа,шафи,armoire,armoires,armario,armarios,کمد,کمد‌ها
der Kleiderschrank,die Kleiderschränke,Kleiderschrank,Kleiderschränke,closet,closets,гардероб,гардероби,placard,placards,ropero,roperos,کمد لباس,کمد لباس‌ها
der Stuhl,die Stühle,Stuhl,Stühle,chair,chairs,стілець,стільці,chaise,chaises,silla,sillas,صندلی,صندلی‌ها
der Tisch,die Tische,Tisch,Tische,table,tables,стіл,столи,table,tables,mesa,mesas,میز,میز‌ها
das Sofa,die Sofas,Sofa,Sofas,sofa,sofas,диван,дивани,canapé,canapés,sofá,sofás,کاناپه,کاناپه‌ها
der Fernseher,die Fernseher,Fernseher,Fernseher,television,televisions,телевізор,телевізори,télévision,télévisions,televisor,televisores,تلویزیون,تلویزیون‌ها
die Fernbedienung,die Fernbedienungen,Fernbedienung,Fernbedienungen,remote control,remote controls,пульт,пульти,télécommande,télécommandes,control remoto,controles remotos,کنترل از راه دور,کنترل از راه دور‌ها
die Lampe,die Lampen,Lampe,Lampen,lamp,lamps,лампа,лампи,lampe,lampes,lámpara,lámparas,چراغ,چراغ‌ها
der Lichtschalter,die Lichtschalter,Lichtschalter,Lichtschalter,light switch,light switches,вимикач,вимикачі,interrupteur,interrupteurs,interruptor,interruptores,کلید برق,کلید برق‌ها
die Steckdose,die Steckdosen,Steckdose,Steckdosen,power socket,power sockets,розетка,розетки,prise,prises,enchufe,enchufes,پریز برق,پریز برق‌ها
das Fenster,die Fenster,Fenster,Fenster,window,windows,вікно,вікна,fenêtre,fenêtres,ventana,ventanas,پنجره,پنجره‌ها
die Gardine,die Gardinen,Gardine,Gardinen,curtain,curtains,гардина,гардини,rideau,rideaux,cortina,cortinas,پرده توری,پرده توری‌ها
der Vorhang,die Vorhänge,Vorhang,Vorhänge,drape,drapes,штора,штори,rideau,rideaux,cortina,cortinas,پرده,پرده‌ها
die Tür,die Türen,Tür,Türen,door,doors,двері,двері,porte,portes,puerta,puertas,در,در‌ها
die Türklinke,die Türklinken,Тürklinke,Türklinken,doorknob,doorknobs,дверна ручка,дверні ручки,poignée de porte,poignées de porte,manija,manijas,دستگیره در,دستگیره در‌ها
der Schlüssel,die Schlüssel,Schlüssel,Schlüssel,key,keys,ключ,ключі,clé,clés,llave,llaves,کلید,کلید‌ها
der Schreibtisch,die Schreibtische,Schreibtisch,Schreibtische,desk,desks,письмовий стіл,письмові столи,bureau,bureaux,escritorio,escritorios,میز تحریر,میز تحریر‌ها
der Stift,die Stifte,Stift,Stifte,pen,pens,ручка,ручки,stylo,stylos,bolígrafo,bolígrafos,خودکار,خودکار‌ها
das Papier,die Papiere,Papier,Papiere,paper,papers,папір,папери,papier,papiers,papel,papeles,کاغذ,کاغذ‌ها
das Buch,die Bücher,Buch,Bücher,book,books,книга,книги,livre,livres,libro,libros,کتاب,کتاب‌ها
das Regal,die Regale,Regal,Regale,shelf,shelves,полиця,полиці,étagère,étagères,estante,estantes,قفسه,قفسه‌ها
der Boden,die Böden,Boden,Böden,floor,floors,підлога,підлоги,sol,sous,piso,pisos,کف,کف‌ها
der Teppich,die Teppiche,Teppich,Teppiche,carpet,carpets,килим,килими,tapis,tapis,alfombra,alfombras,فرش,فرش‌ها
die Wand,die Wände,Wand,Wände,wall,walls,стіна,стіни,mur,murs,pared,paredes,دیوار,دیوار‌ها
das Bild,die Bilder,Bild,Bilder,picture,pictures,картина,картини,image,images,imagen,imágenes,تابلو,تابلوها
die Uhr,die Uhren,Uhr,Uhren,clock,clocks,годинник,годинники,horloge,horloges,reloj,relojes,ساعت,ساعت‌ها
der Spiegel,die Spiegel,Spiegel,Spiegel,mirror,mirrors,дзеркало,дзеркала,miroir,miroirs,espejo,espejos,آینه,آینه‌ها
die Küche,die Küchen,Küche,Küchen,kitchen,kitchens,кухня,кухні,cuisine,cuisines,cocina,cocinas,آشپزخانه,آشپزخانه‌ها
der Herd,die Herde,Herd,Herde,stove,stoves,плита,плити,cuisinière,cuisinières,estufa,estufas,اجاق گاز,اجاق گاز‌ها
der Backofen,die Backöfen,Backofen,Backöfen,oven,ovens,духовка,духовки,four,fours,horno,hornos,فر,فر‌ها
der Kühlschrank,die Kühlschränke,Kühlschrank,Kühlschränke,fridge,fridges,холодильник,холодильники,réfrigérateur,réfrigérateurs,nevera,neveras,یخچال,یخچال‌ها
der Gefrierschrank,die Gefrierschränke,Gefrierschrank,Gefrierschränke,freezer,freezers,морозильник,морозильники,congélateur,congélateurs,congelador,congeladores,فریزر,فریزر‌ها
die Spüle,die Spülen,Spüle,Spülen,sink,sinks,мийка,мийки,évier,éviers,fregadero,fregaderos,سینک,سینک‌ها
der Geschirrspüler,die Geschirrspüler,Geschirrspüler,Geschirrspüler,dishwasher,dishwashers,посудомийка,посудомийки,lave-vaisselle,lave-vaisselles,lavavajillas,lavavajillas,ماشین ظرفشویی,ماشین ظرفشویی‌ها
die Mikrowelle,die Mikrowellen,Mikrowelle,Mikrowellen,microwave,microwaves,мікрохвильовка,мікрохвильовки,micro-onde,micro-ondes,microondas,microondas,مایکروویو,مایکروویوها
der Toaster,die Toaster,Toaster,Toaster,toaster,toasters,тостер,тостери,grille-pain,grille-pains,tostadora,tostadoras,توستر,توستر‌ها
der Wasserkocher,die Wasserkocher,Wasserkocher,Wasserkocher,kettle,kettles,чайник,чайники,bouilloire,bouilloires,hervidor,hervidores,کتری برقی,کتری برقی‌ها
die Pfanne,die Pfannen,Pfanne,Pfannen,pan,pans,сковорода,сковороди,poêle,poêles,sartén,sartenes,ماهیتابه,ماهیتابه‌ها
der Topf,die Töpfe,Topf,Töpfe,pot,pots,горщик,горщики,casserole,casseroles,olla,ollas,قابلمه,قابلمه‌ها
der Teller,die Teller,Teller,Teller,plate,plates,тарілка,тарілки,assiette,assiettes,plato,platos,بشقاب,بشقاب‌ها
das Glas,die Gläser,Glas,Gläser,glass,glasses,склянка,склянки,verre,verres,vaso,vasos,لیوان شیشه‌ای,لیوان شیشه‌ای‌ها
die Tasse,die Tassen,Tasse,Tassen,cup,cups,чашка,чашки,tasse,tasses,taza,tazas,فنجان,فنجان‌ها
das Messer,die Messer,Messer,Messer,knife,knives,ніж,ножі,couteau,couteaux,cuchillo,cuchillos,چاقو,چاقوها
die Gabel,die Gabeln,Gabel,Gabeln,fork,forks,виделка,виделки,fourchette,fourchettes,tenedor,tenedores,چنگال,چنگال‌ها
der Löffel,die Löffel,Löffel,Löffel,spoon,spoons,ложка,ложки,cuillère,cuillères,cuchara,cucharas,قاشق,قاشق‌ها
das Schneidebrett,die Schneidebretter,Schneidebrett,Schneidebretter,cutting board,cutting boards,обробна дошка,обробні дошки,planche à découper,planches à découper,tabla de cortar,tablas de cortar,تخته برش,تخته برش‌ها
die Schüssel,die Schüsseln,Schüssel,Schüsseln,bowl,bowls,миска,миски,bol,bols,cuenco,cuencos,کاسه,کاسه‌ها
die Küchenwaage,die Küchenwaagen,Küchenwaage,Küchenwaagen,kitchen scale,kitchen scales,кухонні ваги,кухонні ваги,balance de cuisine,balances de cuisine,balanza de cocina,balanzas de cocina,ترازوی آشپزخانه,ترازوی آشپزخانه‌ها
der Mülleimer,die Mülleimer,Mülleimer,Mülleimer,trash can,trash cans,смітник,смітники,poubelle,poubelles,basura,basuras,سطل زباله,سطل زباله‌ها
der Besenschrank,die Besenschränke,Besenschrank,Besenschränke,broom closet,broom closets,шафа для щіток,шафи для щіток,placard à balais,placards à balais,armario de escobas,armarios de escobas,کمد جارو,کمد جاروها
der Besen,die Besen,Besen,Besen,broom,brooms,мітла,мітли,balai,balais,escoba,escobas,جارو,جاروها
die Kehrschaufel,die Kehrschaufeln,Kehrschaufel,Kehrschaufeln,dustpan,dustpans,совок,совки,pelle à poussière,pelles à poussière,recogedor,recogedores,خاک‌انداز,خاک‌انداز‌ها
der Staubsauger,die Staubsauger,Staubsauger,Staubsauger,vacuum cleaner,vacuum cleaners,пилосос,пилососи,aspirateur,aspirateurs,aspiradora,aspiradoras,جاروبرقی,جاروبرقی‌ها
der Wäschekorb,die Wäschekörbe,Wäschekorb,Wäschekörbe,laundry basket,laundry baskets,кошик для білизни,кошики для білизни,panier à linge,paniers à linge,cesto de ropa,cestos de ropa,سبد لباس,سبد لباس‌ها
die Waschmaschine,die Waschmaschinen,Waschmaschine,Waschmaschinen,washing machine,washing machines,пральна машина,пральні машини,Machine à laver,Machines à laver,lavadora,lavadoras,ماشین لباسشویی,ماشین لباسشویی‌ها
der Trockner,die Trockner,Trockner,Trockner,dryer,dryers,сушарка,сушарки,sèche-linge,sèche-linges,secadora,secadoras,خشک‌کن,خشک‌کن‌ها
das Badezimmer,die Badezimmer,Badezimmer,Badezimmer,bathroom,bathrooms,ванна кімната,ванні кімнати,salle de bain,salles de bain,baño,baños,حمام,حمام‌ها
die Badewanne,die Badewannen,Badewanne,Badewannen,bathtub,bathtubs,ванна,ванни,baignoire,baignoires,bañera,bañeras,وان,وان‌ها
die Dusche,die Duschen,Dusche,Duschen,shower,showers,душ,душі,douche,douches,ducha,duchas,دوش,دوش‌ها
der Duschvorhang,die Duschvorhänge,Duschvorhang,Duschvorhänge,shower curtain,shower curtains,душова завіса,душові завіси,rideau de douche,rideaux de douche,cortina de ducha,cortinas de ducha,پرده حمام,پرده حمام‌ها
das Waschbecken,die Waschbecken,Waschbecken,Waschbecken,sink,sinks,умивальник,умивальники,lavabo,lavabos,lavamanos,lavamanos,روشویی,روشویی‌ها
der Badezimmerspiegel,die Badezimmerspiegel,Badezimmerspiegel,Badezimmerspiegel,bathroom mirror,bathroom mirrors,дзеркало у ванній,дзеркала у ванній,miroir de salle de bain,miroirs de salle de bain,espejo de baño,espejos de baño,آینه حمام,آینه حمام‌ها
die Zahnbürste,die Zahnbürsten,Zahnbürste,Zahnbürsten,toothbrush,toothbrushes,зубна щітка,зубні щітки,brosse à dents,brosses à dents,cepillo de dientes,cepillos de dientes,مسواک,مسواک‌ها
die Zahnpasta,die Zahnpasten,Zahnpasta,Zahnpasten,toothpaste,toothpastes,зубна паста,зубні пасти,dentifrice,dentifrices,pasta de dientes,pastas de dientes,خمیردندان,خمیردندان‌ها
das Handtuch,die Handtücher,Handtuch,Handtücher,towel,towels,рушник,рушники,serviette,serviettes,toalla,toallas,حوله,حوله‌ها
die Seife,die Seifen,Seife,Seifen,soap,soaps,мило,мила,savon,savons,jabón,jabones,صابون,صابون‌ها
das Shampoo,die Shampoos,Shampoo,Shampoos,shampoo,shampoos,шампунь,шампуні,shampoing,shampoings,champú,champús,شامپو,شامپوها
die Toilette,die Toiletten,Toilette,Toiletten,toilet,toilets,туалет,туалети,toilettes,toilettes,inodoro,inodoros,توالت,توالت‌ها
das Toilettenpapier,die Toilettenpapiere,Toilettenpapier,Toilettenpapiere,toilet paper,toilet papers,туалетний папір,туалетні папери,papier toilette,papiers toilette,papel higiénico,papeles higiénicos,دستمال توالت,دستمال توالت‌ها
die Klobürste,die Klobürsten,Klobürste,Klobürsten,toilet brush,toilet brushes,йоржик,йоржики,brosse de toilette,brosses de toilette,escobilla,escobillas,برس توالت,برس توالت‌ها
der Seifenhalter,die Seifenhalter,Seifenhalter,Seifenhalter,soap holder,soap holders,мильниця,мильниці,porte-savon,portes-savon,jabonera,jaboneras,جا صابونی,جا صابونی‌ها
der Fön,die Föne,Fön,Föne,hair dryer,hair dryers,фен,фени,sèche-cheveux,sèche-cheveux,secador de pelo,secadores de pelo,سشوار,سشوار‌ها
der Flur,die Flure,Flur,Flure,hall,halls,коридор,коридори,couloir,couloirs,pasillo,pasillos,راهرو,راهروها
das Treppenhaus,die Treppenhäuser,Treppenhaus,Treppenhäuser,stairwell,stairwells,сходова клітка,сходові клітки,cage d'escalier,cages d'escalier,escalera,escaleras,راه‌پله,راه‌پله‌ها
die Türmatte,die Türmatten,Türmatte,Türmatten,doormat,doormats,килимок біля дверей,килимки біля дверей,paillasson,paillassons,felpudo,felpudos,پادری,پادری‌ها
der Schuhschrank,die Schuhschränke,Schuhschrank,Schuhschränke,shoe cabinet,shoe cabinets,шафа для взуття,шафи для взуття,meuble à chaussures,meubles à chaussures,zapatero,zapateros,جاکفشی,جاکفشی‌ها
der Schuh,die Schuhe,Schuh,Schuhe,shoe,shoes,взуття,взуття,chaussure,chaussures,zapato,zapatos,کفش,کفش‌ها
die Jacke,die Jacken,Jacke,Jacken,jacket,jackets,куртка,куртки,veste,vestes,chaqueta,chaquetas,کت,کت‌ها
der Hut,die Hüte,Hut,Hüte,hat,hats,капелюх,капелюхи,chapeau,chapeaux,sombrero,sombreros,کلاه,کلاه‌ها
die Handtasche,die Handtaschen,Handtasche,Handtaschen,handbag,handbags,сумочка,сумочки,sac à main,sacs à main,bolso,bolsos,کیف دستی,کیف دستی‌ها
der Regenschirm,die Regenschirme,Regenschirm,Regenschirme,umbrella,umbrellas,парасолька,парасольки,parapluie,parapluies,paraguas,paraguas,چتر,چتر‌ها
der Balkon,die Balkone,Balkon,Balkone,balcony,balconies,балкон,балкони,balcon,balcons,balcón,balcones,بالکن,بالکن‌ها
die Blume,die Blumen,Blume,Blumen,flower,flowers,квітка,квіти,fleur,fleurs,flor,flores,گل,گل‌ها
die Pflanze,die Pflanzen,Pflanze,Pflanzen,plant,plants,рослина,рослини,plante,plantes,planta,plantas,گیاه,گیاه‌ها
der Blumentopf,die Blumentöpfe,Blumentopf,Blumentöpfe,flower pot,flower pots,квітковий горщик,квіткові горщики,pot de fleur,pots de fleurs,maceta,macetas,گلدان گل,گلدان گل‌ها
der Kissenbezug,die Kissenbezüge,Kissenbezug,Kissenbezüge,pillowcase,pillowcases,наволочка,наволочки,taie d'oreiller,taies d'oreiller,funda de almohada,fundas de almohada,روکش بالش,روکش بالش‌ها
die Deckenleuchte,die Deckenleuchten,Deckenleuchte,Deckenleuchten,ceiling light,ceiling lights,стельове світло,стельові світла,plafonnier,plafonniers,lámpara de techo,lámparas de techo,چراغ سقفی,چراغ سقفی‌ها
die Kerze,die Kerzen,Kerze,Kerzen,candle,candles,свічка,свічки,bougie,bougies,vela,velas,شمع,شمع‌ها
das Feuerzeug,die Feuerzeuge,Feuerzeug,Feuerzeuge,lighter,lighters,запальничка,запальнички,briquet,briquets,encendedor,encendedores,فندک,فندک‌ها
das Streichholz,die Streichhölzer,Streichholz,Streichhölzer,match,matches,сірник,сірники,allumette,allumettes,cerilla,cerillas,کبریت,کبریت‌ها
der Laptop,die Laptops,Laptop,Laptops,laptop,laptops,ноутбук,ноутбуки,ordinateur portable,ordinateurs portables,portátil,portátiles,لپ‌تاپ,لپ‌تاپ‌ها
das Handy,die Handys,Handy,Handys,mobile phone,mobile phones,мобільний телефон,мобільні телефони,téléphone portable,téléphones portables,teléfono móvil,teléfonos móviles,گوشی موبایل,گوشی موبایل‌ها
das Ladegerät,die Ladegeräte,Ladegerät,Ladegeräte,charger,chargers,зарядний пристрій,зарядні пристрої,chargeur,chargeurs,cargador,cargadores,شارژر,شارژر‌ها
das Kabel,die Kabel,Kabel,Kabel,cable,cables,кабель,кабелі,câble,câbles,cable,cables,کابل,کابل‌ها
die Batterie,die Batterien,Batterie,Batterien,battery,batteries,батарея,батареї,pile,piles,batería,baterías,باتری,باتری‌ها
die Fernsehzeitung,die Fernsehzeitungen,Fernsehzeitung,Fernsehzeitungen,TV guide,TV guides,телепрограма,телепрограми,programme télé,programmes télé,guía de televisión,guías de televisión,مجله تلویزیون,مجله تلویزیون‌ها
das Radio,die Radios,Radio,Radios,radio,radios,радіо,радіо,radio,radios,radio,radios,رادیو,رادیوها
die Steckleiste,die Steckleisten,Steckleiste,Steckleisten,power strip,power strips,подовжувач,подовжувачі,multiprise,multiprises,regleta,regletas,چندراهی برق,چندراهی برق‌ها
die Glühbirne,die Glühbirnen,Glühbirne,Glühbirnen,light bulb,light bulbs,лампочка,лампочки,ampoule,ampoules,bombilla,bombillas,لامپ,لامپ‌ها
der Vorleger,die Vorleger,Vorleger,Vorleger,rug,rugs,килимок,килимки,tapis,tapis,alfombra pequeña,alfombras pequeñas,قالیچه,قالیچه‌ها
das Poster,die Poster,Poster,Poster,poster,posters,плакат,плакати,affiche,affiches,póster,pósters,پوستر,پوستر‌ها
die Pinnwand,die Pinnwände,Pinnwand,Pinnwände,pinboard,pinboards,дошка для нотаток,дошки для нотаток,panneau d'affichage,panneaux d'affichage,tablero de anuncios,tableros de anuncios,تخته اعلانات,تخته اعلانات‌ها
der Wasserhahn,die Wasserhähne,Wasserhahn,Wasserhähne,faucet,faucets,кран,крани,robinet,robinets,grifo,grifos,شیر آب,شیر آب‌ها
das Klo,die Klos,Klo,Klos,toilet,toilets,туалет,туалети,toilettes,toilettes,inodoro,inodoros,دستشویی,دستشویی‌ها
die Couch,die Couches,Couch,Couches,couch,couches,диван,дивани,canapé,canapés,sofá,sofás,مبل,مبل‌ها
der Becher,die Becher,Becher,Becher,cup,cups,чашка,чашки,gobelet,gobelets,vaso,vasos,لیوان,لیوان‌ها
der Korb,die Körbe,Korb,Körbe,basket,baskets,кошик,кошики,panier,paniers,cesto,cestos,سبد,سبد‌ها
